Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,0117358828374191","0,00600000000000001","0,0136429059031342",0,0,0,"0,00758107050268202","5,55801688588521E-07","5,03849020909406E-24","-2,52048126365935E-08","8,23810215563623E-07","2,0001944637819E-23","4,46540635071146E-07",0,0,0,0,0,0,package://servo_urdf/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://servo_urdf/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
puntero,"0,00642596924397514",0,"0,00396114262857445",0,0,0,"0,000883356556804291","7,021421250909E-09","-8,3798647431985E-25","-2,20570840566851E-10","4,97349395150619E-08","-7,16674330152564E-26","5,14715814474346E-08",0,0,0,0,0,0,package://servo_urdf/meshes/puntero.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://servo_urdf/meshes/puntero.STL,,puntero-1,Origin_junta,Axis_junta,junta,continuous,"0,017406","0,006","0,0295",0,0,0,base_link,0,0,1,,,,,,,,,,,,
