Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,006","0,013643","0,011736",0,0,0,"0,0075811","8,2381E-07","2,0055E-23","5,0317E-24","4,4654E-07","-2,5205E-08","5,558E-07",0,0,0,0,0,0,package://servo_urdf/meshes/base_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://servo_urdf/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
puntero,0,"0,0039611","0,006426",0,0,0,"0,00088336","4,9735E-08","-7,1667E-26","-8,3799E-25","5,1472E-08","-2,2057E-10","7,0214E-09",0,0,0,0,0,0,package://servo_urdf/meshes/puntero.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://servo_urdf/meshes/puntero.STL,,puntero-1,Origin_junta,Axis_junta,junta,continuous,"0,006","0,0295","0,017406",0,0,0,base_link,0,1,0,,,,,,,,,,,,
